id_adherent,nom,prenom,code_postal,tranche_age,date_inscription,code_site,abonnement_actif
1,Caron,Jade,59300,14-25 ans,2023-06-02,MED-LIL,oui
2,Guerin,Sacha,59300,14-25 ans,2024-09-02,MED-ARM,oui
3,Dubois,Ethan,59200,14-25 ans,2023-07-28,MED-ARM,non
4,Caron,Manon,59100,Moins de 14 ans,2023-01-10,MED-ARM,oui
5,Renard,Jade,59300,14-25 ans,2024-12-29,MED-LIL,oui
6,Guerin,Chloe,59100,inconnu,2023-02-14,MED-SEC,oui
7,Moreau,Nathan,59800,Moins de 14 ans,2023-11-05,MED-ARM,oui
8,Picard,Tom,59100,26-59 ans,2023-07-11,MED-ARM,oui
9,Colin,Sacha,59300,14-25 ans,2024-04-07,MED-ARM,non
10,Fontaine,Emma,59000,Moins de 14 ans,2024-04-04,MED-LIL,non
11,Lefevre,Rayan,59650,Moins de 14 ans,2025-07-19,MED-TOU,non
12,Renard,Nathan,59200,26-59 ans,2022-04-25,MED-ARM,oui
13,Renard,Rayan,59650,Moins de 14 ans,2022-02-05,MED-LIL,non
14,Dubois,Camille,59300,Moins de 14 ans,2022-10-27,MED-SEC,non
15,Leroy,Ethan,59100,14-25 ans,2022-08-21,MED-ROU,oui
16,Moreau,Hugo,59200,14-25 ans,2023-03-06,MED-LIL,oui
17,Blanchard,Emma,59650,60 ans et plus,2023-04-23,MED-ARM,oui
18,Lambert,Ethan,59650,26-59 ans,2025-05-10,MED-ARM,oui
19,Picard,Jade,59000,60 ans et plus,2023-08-13,MED-LIL,oui
20,Fontaine,Camille,59100,Moins de 14 ans,2022-02-08,MED-ARM,oui
21,Masson,Hugo,59100,60 ans et plus,2022-06-20,MED-TOU,non
22,Guerin,Emma,59300,60 ans et plus,2024-09-27,MED-TOU,oui
23,Blanchard,Manon,59113,14-25 ans,2022-06-26,MED-TOU,oui
24,Blanchard,Emma,59650,26-59 ans,2024-09-06,MED-VIL,oui
25,Vasseur,Nathan,59200,14-25 ans,2022-06-11,MED-TOU,oui
26,Colin,Sacha,59000,Moins de 14 ans,2023-03-11,MED-SEC,oui
27,Vasseur,Hugo,59113,Moins de 14 ans,2022-09-19,MED-SEC,non
28,Delaunay,Ines,59113,60 ans et plus,2022-06-27,MED-SEC,oui
29,Picard,Sofia,59800,60 ans et plus,2022-04-07,MED-ARM,oui
30,Dubois,Nathan,59000,60 ans et plus,2024-05-30,MED-ROU,oui
31,Mercier,Louise,59200,inconnu,2023-06-20,MED-LIL,oui
32,Leroy,Lina,59100,14-25 ans,2025-02-01,MED-SEC,non
33,Guerin,Zoe,59113,26-59 ans,2023-02-22,MED-VIL,oui
34,Renard,Zoe,59650,inconnu,24/01/2023,MED-SEC,oui
35,Lambert,Jade,59493,26-59 ans,2024-04-03,MED-TOU,non
36,Blanchard,Lina,59113,14-25 ans,2023-01-27,MED-TOU,oui
37,Girard,Rayan,59200,26-59 ans,2023-04-08,MED-ARM,non
38,Delaunay,Ethan,59300,Moins de 14 ans,2023-08-22,MED-VIL,oui
39,Delaunay,Hugo,59000,26-59 ans,2023-07-26,MED-ARM,non
40,Blanchard,Lina,59650,60 ans et plus,2024-06-03,MED-LIL,non
41,Hebert,Ethan,59800,60 ans et plus,2025-01-14,MED-ROU,non
42,Guerin,Noah,59493,Moins de 14 ans,2024-03-06,MED-ARM,oui
43,Picard,Lina,59800,Moins de 14 ans,2023-08-06,MED-ARM,oui
44,Caron,Rayan,59493,Moins de 14 ans,2024-03-06,MED-TOU,oui
45,Lambert,Chloe,59200,14-25 ans,2022-10-27,MED-LIL,non
46,Delaunay,Manon,59113,Moins de 14 ans,2025-03-27,MED-SEC,oui
47,Girard,Manon,59650,Moins de 14 ans,2022-10-08,MED-VIL,oui
48,Masson,Adam,59300,Moins de 14 ans,2024-11-09,MED-VIL,oui
49,Masson,Camille,59100,Moins de 14 ans,2025-06-05,MED-LIL,oui
50,Picard,Louise,59650,Moins de 14 ans,2024-09-23,MED-ROU,oui
51,Rousseau,Zoe,59000,14-25 ans,2024-11-27,MED-ROU,oui
52,Hebert,Gabriel,59000,Moins de 14 ans,2023-07-23,MED-ARM,oui
53,Picard,Ethan,59300,Moins de 14 ans,2024-01-20,MED-ARM,non
